Model,New,Old,Diff.
9924,54.3081,55.3383,1.0301
9940,54.3081,55.3383,1.0301
13192,39.0151,40.0477,1.0326
12860,39.0151,40.0477,1.0326
9323,7.0312,8.0644,1.0332
9419,7.0312,8.0644,1.0332
845,8.1858,7.1521,1.0337
12842,4.4212,5.4555,1.0342
14716,4.4797,5.5145,1.0348
14715,4.4797,5.5145,1.0348
9819,4.7365,5.7732,1.0367
7677,20.5487,21.5869,1.0382
7516,20.5487,21.5869,1.0382
1681,13.4068,12.3684,1.0383
1482,4.0843,5.1236,1.0393
12868,194.8111,193.7707,1.0404
13152,194.8111,193.7707,1.0404
11150,5.7347,6.7764,1.0417
12812,146.9953,145.9524,1.0428
13283,146.9953,145.9524,1.0428
6466,49.3153,50.3582,1.0429
3475,4.7658,5.8092,1.0433
9266,100.767,99.7233,1.0436
9475,100.767,99.7233,1.0436
10003,59.9916,61.0367,1.045
9952,59.9916,61.0367,1.045
4080,52.6078,51.5623,1.0455
4000,52.6078,51.5623,1.0455
5652,78.7609,77.7145,1.0464
658,12.6978,13.7445,1.0467
16570,129.2614,128.2139,1.0475
6907,41.1148,40.0672,1.0475
7161,41.1148,40.0672,1.0475
16213,129.2614,128.2139,1.0475
5539,71.775,70.7267,1.0482
5506,71.775,70.7267,1.0482
17193,96.8968,95.8485,1.0483
17192,96.8968,95.8485,1.0483
3249,10.867,11.9155,1.0484
628,1.4859,2.5359,1.0499
9849,40.957,39.907,1.0499
9753,40.957,39.907,1.0499
4089,50.3553,51.4056,1.0502
4092,50.3553,51.4056,1.0502
9410,12.1431,13.1939,1.0508
9322,12.1431,13.1939,1.0508
9350,40.0444,38.9934,1.051
16646,21.6554,22.707,1.0516
10574,36.8222,35.7697,1.0524
10603,36.8222,35.7697,1.0524
3439,3.2847,4.3374,1.0526
649,1.9218,2.9757,1.0539
2633,3.5617,4.6168,1.055
15054,18.5483,17.4915,1.0568
3954,34.2914,33.2334,1.0579
13863,176.7991,177.8588,1.0596
16535,109.8101,110.8702,1.06
14401,10.3207,11.3815,1.0608
18326,191.1062,190.0448,1.0614
18596,191.1062,190.0448,1.0614
6289,19.2436,20.3051,1.0614
6459,19.2436,20.3051,1.0614
17932,103.7839,102.722,1.0618
17538,103.7839,102.722,1.0618
11300,94.9896,93.9267,1.0628
11297,94.9896,93.9267,1.0628
11128,51.4854,50.4203,1.0651
11349,51.4854,50.4203,1.0651
3295,4.6456,5.7116,1.066
17774,67.5045,66.4382,1.0662
17632,67.5045,66.4382,1.0662
18516,132.3046,131.2371,1.0675
18378,132.3046,131.2371,1.0675
17370,146.9361,145.8653,1.0707
17094,146.9361,145.8653,1.0707
16662,8.5768,7.5022,1.0745
8435,29.2756,30.3514,1.0757
8922,29.2756,30.3513,1.0757
8727,29.2756,30.3514,1.0757
8436,29.2756,30.3513,1.0757
656,11.5909,12.6676,1.0767
8383,53.2288,52.1519,1.0768
8385,53.2288,52.1519,1.0768
5615,44.8225,43.7456,1.0769
5453,44.8225,43.7456,1.0769
744,5.908,4.8308,1.0772
17565,23.0625,24.1419,1.0794
17949,23.0625,24.1419,1.0794
1373,3.4818,4.5624,1.0806
7968,82.4675,81.385,1.0824
7967,82.4675,81.385,1.0824
4814,116.5076,115.4234,1.0842
4910,116.5076,115.4234,1.0842
4124,46.8652,47.9498,1.0846
4123,46.8652,47.9498,1.0846
3531,3.4355,4.5203,1.0848
14635,8.9973,10.0829,1.0855
10193,55.5375,54.4507,1.0867
10237,55.5375,54.4507,1.0867
16194,88.3446,87.2563,1.0883
16466,88.3446,87.2563,1.0883
13224,30.465,31.5542,1.0891
12847,30.465,31.5542,1.0891
4171,24.4621,25.5513,1.0892
17336,126.8527,125.7634,1.0893
17300,126.8527,125.7634,1.0893
13408,176.914,175.8235,1.0905
13124,176.914,175.8235,1.0905
3521,3.4786,4.5693,1.0906
9620,32.5111,31.4188,1.0922
9584,32.5111,31.4188,1.0922
10078,45.4991,46.5941,1.0949
10098,45.4991,46.5941,1.0949
14562,16.4793,17.5753,1.096
3617,11.4236,12.523,1.0994
3774,11.4236,12.523,1.0994
13088,69.4721,70.5717,1.0996
13090,69.4721,70.5717,1.0996
6317,57.101,56.0013,1.0996
6467,57.101,56.0013,1.0996
4604,82.4361,81.3348,1.1013
4617,82.4361,81.3348,1.1013
16770,8.9233,10.0257,1.1024
3678,17.5688,18.6722,1.1033
3680,17.5688,18.6722,1.1033
18070,4.431,5.5346,1.1035
10260,30.6781,31.7823,1.1041
5124,115.3735,116.4779,1.1043
5212,115.3735,116.4779,1.1043
17065,10.4168,11.5214,1.1046
4223,50.4412,51.5467,1.1054
3988,50.4412,51.5467,1.1054
676,0.7857,1.893,1.1072
5622,52.7665,51.659,1.1074
5448,52.7665,51.659,1.1074
12834,125.8834,124.7747,1.1086
13312,125.8834,124.7747,1.1086
11545,17.4791,18.5883,1.1091
11612,17.4791,18.5883,1.1091
16189,89.4008,88.291,1.1097
16474,89.4008,88.291,1.1097
14632,4.1066,5.2173,1.1106
17733,50.0842,48.9734,1.1107
17563,50.0842,48.9734,1.1107
7312,4.8219,5.9358,1.1138
3277,4.5968,3.4828,1.114
7311,4.8162,5.9319,1.1156
18282,17.5079,18.6261,1.1181
18548,17.5079,18.6261,1.1181
6418,101.5507,100.4311,1.1196
6416,101.5507,100.4311,1.1196
18380,119.7334,118.6133,1.12
18430,119.7334,118.6133,1.12
13007,12.7806,13.9019,1.1213
14651,2.3311,3.4529,1.1217
17058,18.5653,17.4429,1.1224
17356,18.5653,17.4429,1.1224
3099,3.0346,4.161,1.1263
18275,4.1908,5.3207,1.1299
13184,162.4868,161.3548,1.132
13179,162.4868,161.3548,1.132
14838,22.8678,24.0015,1.1337
16337,3.0269,4.1607,1.1337
12859,16.6132,17.748,1.1347
13193,16.6132,17.748,1.1347
880,5.2079,4.0727,1.1351
9925,71.8512,72.9867,1.1354
9943,71.8512,72.9867,1.1354
8376,19.2813,20.417,1.1357
7980,19.2813,20.417,1.1357
5042,6.8428,7.9807,1.1378
625,2.6985,3.8375,1.139
8305,94.4448,93.3058,1.139
8304,94.4448,93.3058,1.139
8375,19.2763,20.4168,1.1404
8299,19.2763,20.4168,1.1404
650,1.5819,2.7228,1.1408
15041,18.2131,17.0722,1.1409
9378,25.8034,26.945,1.1416
9243,25.8034,26.945,1.1416
17105,230.5661,229.4225,1.1435
17378,230.5661,229.4225,1.1435
18499,43.0698,41.9254,1.1443
18245,43.0698,41.9254,1.1443
13417,130.359,129.2127,1.1462
16199,153.0325,151.8863,1.1462
16561,153.0325,151.8863,1.1462
12809,130.359,129.2127,1.1462
8620,25.8291,24.6777,1.1513
8707,25.8291,24.6777,1.1513
16160,205.0443,203.8904,1.1538
16513,205.0443,203.8904,1.1538
9382,10.6576,11.813,1.1554
9247,10.6576,11.813,1.1554
10309,54.2505,53.0945,1.156
10832,6.5982,7.7576,1.1593
5575,96.132,94.9685,1.1634
5390,96.132,94.9685,1.1634
1382,22.5199,23.6858,1.1658
4096,51.9935,53.1595,1.1659
4090,51.9935,53.1595,1.1659
10009,8.183,7.0165,1.1665
10219,58.4237,59.5944,1.1707
10138,58.4237,59.5944,1.1707
4111,34.4675,33.2962,1.1713
4110,34.4675,33.2962,1.1713
13366,18.4225,19.5951,1.1725
13363,18.4225,19.5951,1.1725
729,9.6193,10.7926,1.1732
4504,18.4716,17.2977,1.1738
10405,91.6996,90.5256,1.174
10687,91.6996,90.5256,1.174
17843,43.7071,44.8829,1.1757
3885,4.4109,3.2338,1.1771
10106,131.0265,129.849,1.1774
9954,131.0265,129.849,1.1774
14537,8.2791,9.4566,1.1774
6886,203.4435,204.6212,1.1776
6911,203.4435,204.6212,1.1776
2571,0.6875,1.8686,1.181
14712,13.6586,12.4765,1.1821
4456,314.251,313.0684,1.1826
4322,314.251,313.0684,1.1826
14750,13.8534,12.6703,1.183
6165,42.8594,41.6747,1.1846
6202,42.8594,41.6747,1.1846
5163,54.0868,52.9013,1.1854
5157,54.0868,52.9013,1.1854
18391,82.6299,81.4436,1.1862
18427,82.6299,81.4436,1.1862
16479,17.2058,18.3922,1.1864
10544,86.9832,88.1722,1.1889
10485,86.9832,88.1722,1.1889
10838,22.9906,24.1813,1.1906
14858,33.9103,35.1037,1.1933
4121,21.3192,20.1258,1.1934
5261,6.2182,7.4132,1.1949
17350,32.6748,33.8705,1.1957
17072,32.6748,33.8705,1.1957
7157,25.0789,26.2753,1.1963
6920,25.0789,26.2753,1.1963
5142,39.4065,40.6039,1.1973
5230,39.4065,40.6039,1.1973
5842,27.1854,28.3837,1.1983
5738,27.1854,28.3837,1.1983
10554,69.3625,70.5613,1.1987
10411,69.3625,70.5613,1.1987
724,53.5829,54.7816,1.1987
11650,68.9103,67.7105,1.1998
11485,68.9103,67.7105,1.1998
17943,84.7636,85.9648,1.2012
17000,15.781,14.5778,1.2032
9784,77.0299,75.8258,1.204
9591,77.0299,75.8258,1.204
653,3.6788,4.886,1.2072
13386,107.5658,106.3581,1.2077
13172,107.5658,106.3581,1.2077
3566,9.3507,10.5589,1.2082
4347,294.9064,293.6961,1.2103
4479,294.9064,293.6961,1.2103
5715,33.7473,34.9583,1.211
6975,23.5474,22.3339,1.2135
10287,66.3339,65.116,1.2178
10268,66.3339,65.116,1.2178
11652,68.9505,67.7322,1.2183
11487,68.9505,67.7322,1.2183
10229,56.0426,54.8212,1.2213
9071,32.962,31.7407,1.2213
9073,32.962,31.7407,1.2213
6088,26.5169,25.2949,1.222
6090,26.5169,25.2949,1.222
4256,148.9673,147.7449,1.2224
4390,148.9673,147.7449,1.2224
13663,111.8254,110.6025,1.2228
9787,74.5501,73.3264,1.2236
9729,74.5501,73.3264,1.2236
18060,7.9528,9.1793,1.2264
14714,15.8539,14.6245,1.2294
9478,29.1901,27.9578,1.2323
9269,29.1901,27.9578,1.2323
3361,6.2606,7.4977,1.2371
892,2.8233,4.0606,1.2372
18437,21.7614,20.5241,1.2372
4736,62.3331,61.0957,1.2373
4757,62.3331,61.0957,1.2373
16029,121.5198,120.2809,1.2389
16524,121.5198,120.2809,1.2389
5130,8.5255,7.284,1.2414
14707,23.7697,22.5275,1.2421
8692,57.4514,56.205,1.2463
8421,57.4514,56.205,1.2463
14781,4.5646,5.8109,1.2463
9759,44.192,45.4385,1.2464
9573,44.192,45.4385,1.2464
16516,214.2874,213.0403,1.2471
16157,214.2874,213.0403,1.2471
14791,4.5709,5.8194,1.2485
8569,14.3238,15.5731,1.2493
8717,14.3238,15.5731,1.2493
6973,38.5647,37.3138,1.2509
7385,38.5647,37.3138,1.2509
9675,33.6437,34.8955,1.2517
9506,33.6437,34.8955,1.2517
18259,15.6436,14.3893,1.2542
9260,27.8008,29.0553,1.2544
9380,27.8008,29.0553,1.2544
11479,11.1115,12.3686,1.2571
14754,19.5443,18.2861,1.2582
17918,77.0838,75.8228,1.261
8333,96.002,94.7403,1.2616
8280,96.002,94.7403,1.2616
14780,4.5135,5.7756,1.2621
6891,83.5079,82.2455,1.2624
6879,83.5079,82.2455,1.2624
5005,83.331,84.5937,1.2627
9525,7.6457,6.3815,1.2642
16012,26.5112,25.2467,1.2645
16494,151.268,150.002,1.266
16247,151.268,150.002,1.266
10191,58.2122,59.4791,1.2668
10189,58.2122,59.4791,1.2668
6419,83.1048,81.8376,1.2672
6293,83.1048,81.8376,1.2672
16558,122.9708,121.7033,1.2674
16205,122.9708,121.7033,1.2674
7557,147.9777,146.7088,1.2688
7816,147.9777,146.7088,1.2688
12991,4.4472,5.7187,1.2715
727,12.2101,13.4824,1.2722
19320,0.6235,1.8974,1.2738
4306,174.3679,173.0922,1.2756
4440,174.3679,173.0922,1.2756
2956,6.5021,7.7801,1.278
3585,4.5628,5.8409,1.2781
1249,0.1732,1.4537,1.2805
9384,7.2726,5.9903,1.2823
12833,123.8176,122.5353,1.2823
9361,7.2726,5.9903,1.2823
13311,123.8176,122.5353,1.2823
10939,106.1404,104.858,1.2823
11370,106.1404,104.858,1.2823
10630,29.1273,30.4138,1.2865
10670,29.1273,30.4138,1.2865
17248,118.5614,117.2748,1.2866
17249,118.5614,117.2748,1.2866
879,8.086,6.7993,1.2866
3731,16.2428,17.5315,1.2887
3598,16.2428,17.5315,1.2887
9253,87.4004,88.6926,1.2921
9368,87.4004,88.6926,1.2921
3458,20.4174,21.7111,1.2937
12944,10.5841,11.8784,1.2943
13257,10.5841,11.8784,1.2943
18541,56.0233,57.3189,1.2956
18479,56.0233,57.3189,1.2956
2669,3.4445,4.7422,1.2977
9219,141.9589,140.6611,1.2978
9452,141.9589,140.6611,1.2978
3643,8.2955,9.5953,1.2997
3745,8.2955,9.5953,1.2997
4606,31.16,32.463,1.3029
4594,31.16,32.463,1.3029
16000,12.0675,13.3799,1.3124
10178,59.4034,60.7158,1.3124
883,2.4343,3.7474,1.3131
17226,83.4966,82.1794,1.3171
17227,83.4966,82.1794,1.3171
17542,13.3492,14.6687,1.3194
17966,13.3492,14.6687,1.3194
10199,112.2712,113.5907,1.3195
10131,112.2712,113.5907,1.3195
18531,15.325,16.6474,1.3224
18264,15.325,16.6474,1.3224
10795,112.3434,111.0201,1.3233
11329,112.3434,111.0201,1.3233
8575,55.5718,56.8954,1.3235
8741,55.5718,56.8954,1.3235
3660,9.8902,11.2146,1.3244
14785,11.6031,12.9276,1.3245
7186,55.0601,56.3858,1.3256
7185,55.0601,56.3858,1.3256
8339,20.5487,21.8745,1.3258
8340,20.5487,21.8745,1.3258
8337,20.5487,21.8745,1.3258
8338,20.5487,21.8745,1.3258
8341,20.5487,21.8745,1.3258
8336,20.5487,21.8745,1.3258
12888,108.6924,107.3659,1.3264
13330,108.6924,107.3659,1.3264
11019,76.1544,74.8273,1.327
10947,76.1544,74.8273,1.327
17195,97.0905,95.7594,1.331
17194,97.0905,95.7594,1.331
11237,34.3163,32.9841,1.3321
9586,112.3466,111.0145,1.3321
3110,14.625,13.2903,1.3347
3736,11.8599,13.1958,1.3358
3606,11.8599,13.1958,1.3358
18423,80.2599,78.9204,1.3395
18387,80.2599,78.9204,1.3395
4054,34.7864,33.446,1.3403
4005,34.7864,33.446,1.3403
10029,64.8572,63.5125,1.3446
4354,239.9629,238.618,1.3449
4486,239.9629,238.618,1.3449
10384,89.8029,91.1489,1.346
10548,89.8029,91.1489,1.346
16594,27.3288,28.6755,1.3467
16108,27.3288,28.6755,1.3467
13135,138.8701,137.5217,1.3484
13404,138.8701,137.5217,1.3484
9387,12.5246,13.8756,1.3509
9221,12.5246,13.8756,1.3509
4058,78.0182,76.6648,1.3534
4062,78.0182,76.6648,1.3534
8119,20.8283,22.1831,1.3548
8073,20.8283,22.1831,1.3548
6381,55.3546,53.9976,1.3569
6304,55.3546,53.9976,1.3569
18452,7.7071,9.068,1.3609
10764,41.492,40.1307,1.3613
627,0.7984,2.1602,1.3617
6995,89.0693,87.7041,1.3652
6869,89.0693,87.7041,1.3652
8437,19.7785,21.1441,1.3655
8720,19.7785,21.1441,1.3655
10245,11.3484,9.9827,1.3656
9487,73.382,72.0158,1.3661
9640,73.382,72.0158,1.3661
4570,67.7036,69.0709,1.3672
6486,54.7103,56.0781,1.3678
6318,54.7103,56.0781,1.3678
3588,21.0246,22.3945,1.3698
3667,21.0246,22.3945,1.3698
16281,3.9408,5.3117,1.3709
8462,195.5744,194.203,1.3713
8757,195.5744,194.203,1.3713
5706,21.6306,23.0023,1.3717
5978,21.6306,23.0023,1.3717
11470,7.1026,8.4745,1.3719
3685,17.8285,19.2011,1.3726
3684,17.8285,19.2011,1.3726
10617,59.5246,58.1515,1.373
10647,59.5246,58.1515,1.373
13421,93.0933,91.719,1.3742
9496,29.0064,30.3806,1.3742
9543,29.0064,30.3806,1.3742
12903,93.0933,91.719,1.3742
17318,65.2192,63.8429,1.3763
17288,65.2192,63.8429,1.3763
9192,6.5808,7.9634,1.3826
14837,10.0946,11.4785,1.3838
10227,5.0338,6.4196,1.3857
16105,5.7386,7.1251,1.3864
11362,74.6453,73.2576,1.3876
11399,74.6453,73.2576,1.3876
3415,6.2413,7.6298,1.3884
13592,17.6428,16.2527,1.3901
11363,75.6777,74.2843,1.3933
11398,75.6777,74.2843,1.3933
13641,14.6,13.2061,1.3939
6321,44.6505,46.0454,1.3948
6468,44.6505,46.0454,1.3948
10085,47.2369,45.8388,1.3981
10080,47.2369,45.8388,1.3981
16272,52.0296,50.6288,1.4008
16621,52.0296,50.6288,1.4008
10757,12.4897,11.0888,1.4009
8393,77.922,79.324,1.402
8697,77.922,79.324,1.402
9058,50.5326,51.9386,1.406
9054,50.5326,51.9386,1.406
10000,78.2983,79.7057,1.4073
9916,78.2983,79.7057,1.4073
13079,34.9461,36.3549,1.4087
13077,34.9461,36.3549,1.4087
16053,21.4838,22.8937,1.4099
10447,52.2343,50.8243,1.4099
10605,52.2343,50.8243,1.4099
17320,72.1034,70.692,1.4113
17286,72.1034,70.692,1.4113
8545,36.4067,37.8189,1.4122
8738,36.4067,37.8189,1.4122
14576,29.4354,30.8497,1.4143
14700,13.9875,12.5723,1.4151
10118,44.6107,46.0268,1.416
10211,44.6107,46.0268,1.416
17073,19.0022,17.5848,1.4174
10195,33.2276,34.6472,1.4196
10240,33.2276,34.6472,1.4196
16529,37.7563,36.3365,1.4197
16156,37.7563,36.3365,1.4197
3835,9.2439,10.6655,1.4215
3824,9.2439,10.6655,1.4215
11009,69.1377,67.7131,1.4246
8821,12.2195,13.6443,1.4247
8508,12.2195,13.6443,1.4247
13097,144.3437,142.9178,1.4259
6344,52.7521,54.1783,1.4261
11567,39.007,37.5791,1.4279
10239,39.2777,40.7061,1.4283
10196,39.2777,40.7061,1.4283
10518,16.1219,17.5523,1.4303
10439,16.1219,17.5523,1.4303
17269,103.175,101.7438,1.4312
17270,103.175,101.7438,1.4312
17561,66.5283,65.0967,1.4315
17748,66.5283,65.0967,1.4315
18034,10.2145,11.6469,1.4323
17922,33.608,32.1743,1.4337
17923,33.608,32.1743,1.4337
626,1.0323,2.4661,1.4338
10079,2.1726,3.6085,1.4359
646,0.4087,1.8447,1.436
11457,12.1785,10.7409,1.4376
11440,12.1789,10.7409,1.4379
8628,29.4798,28.0408,1.439
8799,29.4798,28.0408,1.439
18064,12.0105,13.4503,1.4397
13805,44.9418,46.3859,1.444
13807,44.9418,46.3859,1.444
10357,91.9655,90.5207,1.4448
10496,91.9655,90.5207,1.4448
10864,171.9841,173.4314,1.4473
11407,171.9841,173.4314,1.4473
8215,135.5787,134.13,1.4486
8226,135.5787,134.13,1.4486
7815,162.5541,161.1046,1.4494
7451,162.5541,161.1046,1.4494
3626,5.3563,6.8088,1.4525
3770,5.3563,6.8088,1.4525
17521,19.2802,20.7352,1.4549
17581,19.2802,20.7352,1.4549
14741,5.5859,7.0415,1.4556
3423,6.1738,7.6298,1.456
16346,6.821,5.3628,1.4582
16340,6.821,5.3628,1.4582
16345,6.821,5.3628,1.4582
14678,0.6532,2.1132,1.46
14685,0.6532,2.1132,1.46
14660,0.6532,2.1132,1.46
3482,17.1618,15.7014,1.4603
3434,17.1618,15.7014,1.4603
11132,67.9208,66.4602,1.4605
11208,67.9208,66.4602,1.4605
17007,16.0383,14.5778,1.4605
16342,6.8235,5.3628,1.4606
16349,6.8235,5.3628,1.4606
4187,47.4421,48.9033,1.4611
4014,47.4421,48.9033,1.4611
14808,13.5062,14.9736,1.4673
4881,26.4835,27.9577,1.4741
5067,26.4835,27.9577,1.4741
5032,71.6675,73.1418,1.4743
6448,74.9697,73.4939,1.4757
6452,74.9697,73.4939,1.4757
2787,2.3093,3.7854,1.476
4321,280.2505,278.7729,1.4776
4455,280.2505,278.7729,1.4776
14891,3.3685,4.8475,1.4789
13005,48.4234,49.9024,1.479
7982,34.0434,32.5622,1.4811
9528,4.345,5.8262,1.4812
10037,32.8298,34.3122,1.4824
10163,32.8298,34.3122,1.4824
8115,11.8743,13.3578,1.4834
8077,11.8743,13.3578,1.4834
9366,79.4269,77.9435,1.4834
9230,79.4269,77.9435,1.4834
5987,71.7291,70.2427,1.4863
5988,71.7291,70.2427,1.4863
17928,17.9322,19.4188,1.4865
13383,127.0208,125.5306,1.4902
12967,127.0208,125.5306,1.4902
16661,13.8151,15.3066,1.4915
16011,23.0714,24.5662,1.4947
16765,23.0714,24.5662,1.4947
1564,0.3637,1.8601,1.4963
14472,6.1217,7.6195,1.4978
13154,100.7912,99.2905,1.5006
13139,100.7912,99.2905,1.5006
3831,11.2891,12.79,1.5008
3820,11.2891,12.79,1.5008
10886,73.2383,74.7446,1.5063
10835,73.2383,74.7446,1.5063
10056,71.0849,72.5931,1.5082
9938,71.0849,72.5931,1.5082
7231,15.8057,14.2916,1.514
13483,15.5328,17.0491,1.5162
12990,15.5328,17.0491,1.5162
16084,24.2189,22.7005,1.5183
14535,5.4962,7.017,1.5207
5354,97.529,99.0518,1.5228
5353,97.529,99.0518,1.5228
7760,135.654,134.1301,1.5239
7442,135.654,134.1301,1.5239
13726,86.268,84.7434,1.5245
13786,86.268,84.7434,1.5245
7611,70.1771,71.7077,1.5306
7895,70.1771,71.7077,1.5306
4231,37.517,39.0478,1.5307
6413,49.948,48.4145,1.5334
8123,13.1244,14.6589,1.5345
8334,13.1244,14.6589,1.5345
8335,13.1244,14.6589,1.5345
8114,13.1244,14.659,1.5345
8078,13.1244,14.659,1.5345
8076,13.1244,14.6589,1.5345
8345,34.0754,32.5374,1.538
5199,13.428,14.9679,1.5398
5140,13.428,14.9679,1.5398
10244,8.6685,10.2098,1.5413
16135,37.2536,35.712,1.5416
16666,21.1992,19.6566,1.5426
10180,45.0307,46.5742,1.5434
14437,8.7227,10.2677,1.5449
16067,15.145,16.6901,1.5451
18534,15.145,16.6902,1.5451
16603,15.145,16.6901,1.5451
18242,15.145,16.6902,1.5451
16604,15.1437,16.6902,1.5464
16605,15.1437,16.6902,1.5464
18041,18.2131,19.761,1.5478
13411,162.8295,161.2802,1.5493
13125,162.8295,161.2802,1.5493
9193,6.4121,7.9633,1.5512
3839,8.444,9.9962,1.5521
3829,8.444,9.9962,1.5521
13790,28.5573,30.1106,1.5532
13746,28.5573,30.1106,1.5532
9373,21.7095,23.2632,1.5537
9301,21.7095,23.2632,1.5537
16085,35.0021,33.4427,1.5593
4077,41.4023,39.843,1.5593
4028,41.4023,39.843,1.5593
10242,29.2807,30.8417,1.5609
10243,29.2807,30.8417,1.5609
17667,33.5021,31.9405,1.5616
17796,33.5021,31.9405,1.5616
9004,62.4446,60.8805,1.5641
9013,62.4446,60.8805,1.5641
674,1.8477,3.4137,1.5659
5624,31.0301,29.463,1.5671
5625,31.0301,29.463,1.5671
11491,16.0333,14.4643,1.569
17287,73.2467,71.673,1.5737
17319,73.2467,71.673,1.5737
7849,67.3635,65.7882,1.5753
9786,47.2697,45.6944,1.5753
7850,67.3635,65.7882,1.5753
9728,47.2697,45.6944,1.5753
17526,23.54,25.1193,1.5792
17967,23.54,25.1193,1.5792
3978,64.9987,63.4187,1.58
4053,64.9987,63.4187,1.58
17698,12.8951,14.4765,1.5814
17771,12.8951,14.4765,1.5814
13722,39.8333,41.4157,1.5823
13759,39.8333,41.4157,1.5823
13635,19.4318,17.845,1.5867
13004,52.2453,50.6571,1.5881
10039,71.7926,73.3825,1.5898
3422,8.5935,10.1846,1.5911
3418,8.5935,10.1846,1.5911
9581,54.4888,56.0828,1.594
9629,54.4888,56.0828,1.594
9246,31.6008,30.0062,1.5946
9403,31.6008,30.0062,1.5946
13022,18.9868,20.5819,1.5951
13223,18.9868,20.5819,1.5951
10644,49.7227,51.3203,1.5976
10623,49.7227,51.3203,1.5976
13025,6.1698,7.77,1.6002
17579,8.2544,9.855,1.6006
6255,94.6023,96.2057,1.6034
6130,94.6023,96.2057,1.6034
8890,22.3572,23.9608,1.6035
8424,22.3572,23.9608,1.6035
17847,51.5076,49.9034,1.6042
17689,51.5076,49.9034,1.6042
14479,13.1005,14.706,1.6054
11292,5.2115,6.8184,1.6068
16532,32.4958,34.1033,1.6075
17352,15.8249,14.2171,1.6077
17052,15.8249,14.2171,1.6077
8490,102.8291,101.2202,1.6088
8703,102.8291,101.2202,1.6088
17008,20.3664,18.7549,1.6114
17354,15.8275,14.2154,1.612
17053,15.8275,14.2154,1.612
12845,8.369,9.9812,1.6121
9617,117.1999,115.5873,1.6126
9888,117.1999,115.5873,1.6126
18104,16.1772,17.7901,1.6128
13074,173.2509,171.6368,1.614
12865,173.2509,171.6368,1.614
9501,46.9691,48.5867,1.6175
9633,46.9691,48.5867,1.6175
11676,4.4921,6.1104,1.6182
3274,4.4921,6.1104,1.6182
5979,19.4595,21.0787,1.6192
5735,19.4595,21.0787,1.6192
10022,22.5152,20.8953,1.6199
9990,22.5152,20.8953,1.6199
12841,7.383,9.0048,1.6218
10814,23.2739,21.6499,1.6239
11426,5.0165,6.6416,1.6251
4201,36.3866,34.7606,1.626
3336,5.7919,7.4185,1.6265
7285,18.0363,16.4093,1.6269
7388,18.0363,16.4093,1.6269
14519,5.1224,6.7533,1.6308
5249,24.3603,25.9921,1.6318
5187,24.3603,25.9921,1.6318
5729,27.4158,29.048,1.6322
5946,27.4158,29.048,1.6322
3376,24.1278,25.7602,1.6323
3375,24.1278,25.7602,1.6323
7518,112.7305,114.3638,1.6333
7962,112.7305,114.3638,1.6333
791,62.6486,61.0153,1.6333
785,62.6486,61.0153,1.6333
18504,177.4976,175.8642,1.6334
18333,177.4976,175.8642,1.6334
7475,200.8399,199.2037,1.6362
7804,200.8399,199.2037,1.6362
16592,134.2479,132.6093,1.6386
16036,134.2479,132.6093,1.6386
18439,23.3767,21.7359,1.6407
4473,275.2534,273.6072,1.6462
4340,275.2534,273.6072,1.6462
4398,315.5649,313.9185,1.6463
4264,315.5649,313.9185,1.6463
11420,14.3336,12.6868,1.6468
